ISBN,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-989-8166-54-8,O rato que levava uma casa às costas,"O Vicente é um rato pequenino, de coração grande. Vai pelo mundo com uma casa às costas. Nessa casa cabem o acolhimento, a escuta, a ternura — e todos os que dela precisarem, sem julgamentos nem medos. Ao longo do caminho, Vicente encontra animais de todos os tamanhos, feitios e temperamentos. A sua casa vai crescendo, como cresce quem se dá ao outro com bondade genuína, sem esperar nada em troca — apenas por querer acolher, cuidar, reconfortar, apaziguar. E quando o medo e o preconceito se instalam, Vicente não vacila. Afirma, com doçura e firmeza, que na sua casa todos são bem-vindos — mesmo aqueles que parecem assustadores. Uma história sobre empatia, coragem e a beleza de nos mantermos fiéis aos nossos valores, mesmo quando é mais fácil ceder. Um livro-objeto que nos abre a porta. E nos convida a entrar.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=575212&img=81414&res=100&thb=1&pag=1,"Stutzman, Jonathan;Arsenault, Isabelle, 1978-, il.","Figueira da Foz : Bruaá, 2023",,,087.5(5-10)
978-989-623-353-2,As emoções do Leopoldo,"Leopoldo é um coelho que adora livros de meter medo, piadas de meter medo e desenhos animados de meter medo. O problema era quando o medo se apoderava dele... Sempre que o Leopoldo sentia medo, ele escondia-o, trancava-o. Ao guardá-lo tinha esperança que desaparecesse, tal como fez com a tristeza, o entusiasmo, a raiva, a solidão, a alegria, a desilusão, a vergonha. Já nada sentia... até que uma desgraça aconteceu![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558427&img=70513&res=100&thb=1&pag=1 0#doc=558427&img=70514&res=100&thb=1&pag=1,"Marcero, Deborah;Ferreira, Susana Cardoso, 1972-, il.","Lisboa : Fábula, 2023",,Literatura Americana,087.5(5-10)
978-989-35027-0-9,Histórias de Vila Mamoko,"Neste livro-formigueiro, a designação para um tipo de álbum (quase) sem texto que apresenta em cada dupla página um cenário repleto de personagens e pormenores que podem ser lidos em qualquer ordem e de forma independente, o leitor poderá acompanhar e descobrir a história de um ladrão de obras de arte, de um extraterreste-turista, de habitantes desastrados ou com pouca sorte, entre outros. Um livro para todas as idades, com um formato grande e de cantos arredondados e páginas cartonadas resistentes que permitem o manuseamento autónomo por parte de bebés e crianças mais pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558335&img=77813&res=100&thb=1&pag=1,"Mizielinska, Aleksandra, 1982-;Mizielinski, Daniel, 1982-, co-autor","[S.l.] : Albana Lima, 2023",,Literatura Polaca,087.5(0-5)
978-989-9071-38-4,E se...,"Os macacos adoram mangas. Mas há tigres lá em baixo... A mãe disse-lhes ""Façam o que fizerem, NÃO se aproximem da árvore das mangas"". Mas é mesmo uma pena. São tão docinhas e sumarentas. E se fossem só ver as mangas? Aqui há tigres? Não! Ali há tigres? Não! Não há cá tigres. Podemos ir.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555318&img=66871&res=100&thb=1&pag=1,"Haughton, Chris, 1978-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2022",Orfeu mini,Literatura Irlandesa,087.5(0-5)
978-989-9071-63-6,Aqui estamos nós : livro das cores,"A aprendizagem da cor é uma etapa fundamental do desenvolvimento humano. As cores ajudam a conhecer o mundo, são reguladoras de emoções e encorajam a exploração visual e a expressão verbal. Com este livro do premiado ilustrador Oliver Jeffers, há espaço para relacionar cores com seres vivos, objectos, sensações e, um dia, as primeiras palavras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=565928&img=74749&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","LIsboa : Orfeu Negro, 2018",Orfeu mini,Literatura Australiana,087.5(0-5)
978-972-0-71168-7,Biblioteca do bebé : livros de alto-contraste,"Esta série de três livros cartonados, de imagens e sem texto, insere-se no segmento dos livros de conceitos que, neste caso, exploram variações de rostos, alguns pormenores das ilustrações e as narrativas muito simples, proporcionando não só um contacto precoce com o objeto-livro, mas também um estímulo linguístico interessante.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=564976&img=71485&res=100&thb=1&pag=1,"Almeida, Clementina;Almeida, Andreia, il.","Porto : Porto, 2021",Biblioteca do bebé,Pré-leitores,087.5(0-5)
978-989-53618-7-8,Livro do Verão,"Verão é sinónimo de praia, dias longos, noites quentes, fruta fresca e liberdade. Repleto de sugestões sinestésicas, este livro-álbum celebra a estação do ano mais alegre, através de um contido texto em rima e ilustrações apelativas, com formas generosas e cores vivas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562624&img=70484&res=100&thb=1&pag=1,"Barata, Joana, 1989-;Soares, Mariana, il.","[S.l.] : UPA, 2023",,Literatura Portuguesa,087.5(0-5)
978-989-35027-1-6,Serafina : o aniversário,"A Serafina faz anos e todos se preparam para a festa com entusiasmo. Há quem comece o dia com um banho de imersão, quem prepare o bolo e outras iguarias e quem trate da decoração. Todos se divertirão à mesa e no jardim até chegar a hora dos convidados irem embora. Este livro caracteriza-se como um álbum (quase) sem texto que oferece em cada dupla página um cenário repleto de personagens e pormenores que podem ser lidos em qualquer ordem e de forma independente. Capaz de atrair leitores de todas as idades, apresenta um formato grande e de cantos arredondados e materiais resistentes que permitem o manuseamento autónomo por parte de bebés e crianças mais pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=558330&img=77812&res=100&thb=1&pag=1,"Albertine, 1967-","[S.l.] : Albana Lima, 2023",,Literatura Suiça,087.5(0-5)
978-972-0-71520-3,"Toca, sente e aprende","Este livro, de dimensões generosas e com um conjunto interessante de estratégias para promover uma experiência de leitura sensorial e interativa - através do uso de verniz brilhante, texturas, alto e baixo relevo, abas para levantar e puxar -, permite aos leitores mais pequenos o primeiro contacto com o abecedário e algumas palavras, os números, as cores, as formas, os opostos e as emoções. As páginas cartonadas garantem durabilidade e os cantos arredondados convidam ao manuseamento autónomo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=562621&img=70482&res=100&thb=1&pag=1,"Robichaud, Danielle;Ordàs, Emi, il.;Shutterstock, il.","Porto : Porto, 2022",,,087.5(0-5)
978-989-9071-37-7,Aqui estamos nós : livro dos animais,"""Livro de conceitos cartonado relativo a animais. A diversidade de animais apresentados (terrestres, aquáticos e aéreos; domésticos e selvagens; mais ou menos familiares) é suportada por ilustrações mais expressivas do que realistas que atenuam a vertente didática, contribuindo para a valorização das dimensões estética e lúdica. ""[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=555742&img=66960&res=100&thb=1&pag=1,"Jeffers, Oliver, 1977-;Lopes, Rui, trad.","Lisboa : Orfeu Negro, 2022",Orfeu Mini,Literatura Australiana,087.5(0-5)
978-989-749-161-0,Assim ou assado?,"A criança deste livro gosta de exercitar a sua imaginação e criatividade nas rotinas do dia a dia. As propostas deste protagonista irrequieto vão fazer-nos olhar com outros olhos para atividades corriqueiras como sentar, beber, vestir, arrumar ou dormir. Ou será que aí em casa não é muito diferente? As ilustrações, muito simples, devolvem resultados inesperados e apresentam intertextualidades muito relevantes ao alcance dos destinatários preferenciais. Os materiais cartonados resistentes com cantos arredondados contribuem para o manuseamento seguro e autónomo de bebés e crianças pequenas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=551844&img=70433&res=100&thb=1&pag=1,"Pascoal de la Torre, María, 1973-;Ramos, Elisabete, 1976-, trad.","Matosinhos : Kalandraka, 2022",,Literatura Espanhola,087.5(0-5)
978-989-9061-11-8,O que é isto?,"O que é isto? É um bicho? É um risco? É o quê? Ninguém sabe bem, mas cada um dá a sua opinião. Para uns parece ser um objeto, para outros, um animal. E então? Qual é o mal? Uma coisa é certa: neste livro há umas linhas muito irrequietas que querem mesmo existir, seja de que forma for.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=546147&img=63903&res=100&thb=1&pag=1,"Pessoa, Ana, 1982-;Kono, Yara, 1972-, il.","Carcavelos : Planeta Tangerina, 2022",,Literatura Portuguesa,087.5(0-5)
978-989-749-157-3,Uma cor apenas sua,"A aventura de um camaleão em busca da sua identidade e a descoberta final de que o importante não é deixar de mudar de cor, mas compartilhá-la com alguém. A mestria de Leo Lionni não necessita de artifícios para transmitir ao leitor que as emoções do camaleão são também as dele e que as suas incertezas são igualmente compartilhadas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=544690&img=63695&res=100&thb=1&pag=1,"Lionni, Leo, 1910-1999;Almeida, Carla Maia de, 1969-, trad.","Matosinhos : Kalandraka, 2022",Livros para sonhar,Literatura Holandesa,087.5(0-5)
978-989-8166-47-0,Uma mãe é como uma casa,"Há lugares que não se veem, sentem-se. Uma mãe pode ser um abrigo, um cheiro, uma melodia que embala. É o colo onde tudo cabe, a luz que guia no escuro, o sorriso acolhedor. Como uma casa, muda com o tempo. Às vezes cheia, outras, silenciosa. Sempre viva, sempre presente. Neste livro terno e expressivo, a infância desenha-se nos gestos do quotidiano e nos laços invisíveis que fazem de uma mãe o primeiro mundo de alguém.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=520930&img=58524&res=100&thb=1&pag=1,"Petit, Aurore, 1981-","Figueira da Foz : Bruaá, 2021",,Literatura Francesa,087.5(0-5)
978-989-23-4873-5,É de noite!,"Este volume volta a tematizar uma série de transformações que antecedem o adormecimento da criança, revelando-se particularmente adequado para a rotina da leitura do final do dia. Em cada uma das páginas, o livro apresenta uma uma situação diferente que será alvo de transformação por parte dos leitores, através da manipulação do papel, desde iluminar o céu com estrelas a fazer aparecer um arco-íris.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=496374&img=55183&res=100&thb=1&pag=1,"Clima, Gabriele, 1967-;Mesquita, Vasco Sousa, trad.","Alfragide : Asa, 2021",Com um dedinho,Literatura Italiana,087.5(0-5)
978-989-9071-03-2,Beijos,"Todos gostamos de dar e de receber beijinhos. Os peixes, as abelhas, até as serpentes e os grandes elefantes trocam mimos assim. E o melhor ainda está para vir: Upa, para a cama, chuac-chuac e dormir! Uma divertida história em rima para os mais pequeninos aprenderem a mostrar as suas emoções.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=522391&img=59230&res=100&thb=1&pag=1,"Comín, Marta, 1982-;Berhan, João, trad.","Lisboa : Orfeu Negro, 2021",Orfeu mini,Literatura Espanhola,087.5(0-5)
978-989-9061-02-6,Daqui ali,"Um bebé, aqui. E tanta coisa do outro lado, a um passo, ali. Uma vontade começa então a crescer dentro do bebé: ir daqui, ali. Ali, onde há bola, onde há pão, onde há música, onde há chão. Ali, onde mora a liberdade (pois então). Daqui até ali a distância é grande, tão grande como a que vai de bebé a menino. Será que vai correr tudo bem?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=521396&img=61947&res=100&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Kono, Yara, 1972-, il.","Carcavelos : Planeta Tangerina, 2021",,Literatura Portuguesa,087.5(0-5)
978-972-0-71168-7,Biblioteca do bebé : livros de alto-contraste,"Esta série de três livros cartonados, de imagens e sem texto, insere-se no segmento dos livros de conceitos que, neste caso, exploram variações de rostos, alguns pormenores das ilustrações e as narrativas muito simples, proporcionando não só um contacto precoce com o objeto-livro, mas também um estímulo linguístico interessante.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=514681&img=56818&res=100&thb=1&pag=1,"Almeida, Clementina;Almeida, Andreia, il.","Porto : Porto, 2021",Biblioteca do bebé,Pré-leitores,087.5(0-5)
978-989-23-4874-2,Que medo mamã!,"Em cada uma das páginas, o livro apresenta uma uma situação diferente que será alvo de transformação por parte dos leitores, através da manipulação do papel. O livro temática situações associadas à noite, ao medo e ao adormecimento, percorrendo o imaginário de algumas histórias conhecidas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=496371&img=55182&res=100&thb=1&pag=1,"Clima, Gabriele, 1967-;Mesquita, Vasco Sousa, trad.","Alfragide : Asa, 2021",Com um dedinho,Literatura Italiana,087.5(0-5)
978-989-8421-49-4,Ninaninar [ Registo sonoro ] : audiolivro,"Livro que inclui CD com concerto de 17 de canções de embalar de diferentes lugares do mundo, recolhidas junto de imigrantes residentes em Arroios, Lisboa.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=522593&img=59302&res=100&thb=1&pag=1,"Fedorova, Anna, rev. de matriz","[S. l] : Boca, 2020",,Canções do Mundo,087.5(5-10)
978-989-8421-47-0,"Afinal o caracol, o Ibis, o gato [ Registo sonoro ] : audiolivro : Andante, Fernando Pessoa","Este livro inclui um CD e consiste numa breve coletânea poética, com sugestões de dinamização e oralização (além de performance musical), de vários poemas, com relevo para os textos para a infância de Fernando Pessoa. Trata-se de uma espécie de prolongamento ou de registo das inúmeras iniciativas de cariz performativo levadas a cabo, durante duas décadas, pela Companhia Andante.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=493710&img=54220&res=100&thb=1&pag=1,"Andante;Pessoa, Fernando, 1888-1935, co-autor","Lisboa : BOCA/Casa Fernando Pessoa, 2020",,,087.5(0-5)
978-989-8145-99-4,Nham,"Neste livro vencedor da 3.a edição do Prémio Internacional SERPA/ Planeta Tangerina para Álbum Ilustrado, o humor, a surpresa e o ritmo ditam a leitura, quer das imagens, quer do texto. É um livro para todas as infâncias e é preciso ter cuidado a lê-lo, não vá uma imagem surpreender-nos de dentes e arestas afiadas e... Nham![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=491880&img=53185&res=100&thb=1&pag=1,"Pittman, Nuppita","Carcavelos : Planeta Tangerina, 2020",Mini Micro,Literatura Espanhola,087.5(0-5)
978-972-24-1170-7,Todos no sofá,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=485237&img=50753&res=100&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Leitão, Pedro, 1965-, il.","[Lisboa] : Horizonte, 2001",,Pré-leitores,087.5(0-5)
978-989-749-125-2,O cão de Milu,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Peluche é o grande companheiro de brincadeiras e diversão de uma menina encantada com o seu muito peculiar animal de estimação. Esta é uma história de amor pelos animais, pela amizade incondicional e liberdade.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=480623&img=49094&res=150&thb=1&pag=1,"Máray, Mariann, 1978-;Ramos, Elisabete, 1976-, trad.","Matosinhos, : Kalandraka, 2019",Livros para Sonhar,Literatura Húngara,087.5(5-10)
978-989-8145-96-3,Assim ou assado,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Passamos a vida a fazer escolhas: É preciso escolher: sim ou não? Laranja ou limão? Assim ou assado? Doce ou salgado? Decidir é bom porque nos ajuda a encontrar o nosso lugar no mundo. Mas nem sempre é fácil... Há com cada dilema! Este livro, que associa palavras e compara opostos, vai ajudar-nos a tirar conclusões.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=480575&img=49049&res=150&thb=1&pag=1,"Pessoa, Ana, 1982-;Kono, Yara, 1972-, il.","Carcavelos : Planeta Tangerina, 2019",,Literatura Portuguesa,087.5(5-10)
978-989-749-116-0,"Urso castanho, urso castanho, o que vês aqui?","[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Animais e cores ao ritmo de uma narrativa encadeada de estrutura repetitiva que, no final, interpela os leitores a participar e interagir.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=479877&img=48852&res=150&thb=1&pag=1,"Martin Jr., Bill, 1916-2004;Carle, Eric, 1929-2021, il.;Alves, Gabriela Rocha, 1959-, trad.","Matosinhos : kalandraka, 2019",Livros para sonhar,Literatura Americana,087.5(0-5)
978-989-749-113-9,O pirata valente,"O que acontece quando um intrépido pirata sobe ao mastro do seu navio e, no auge da aventura, ouve a mãe chamá-lo para ir lanchar? Fantasia e humor, em versos rimados.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473236&img=46274&res=150&thb=1&pag=1,"Alcántara, Ricardo, 1946-;Gusti, 1963-, il.;Ramos, Elisabete, 1976-, trad.","Matosinhos : Kalandraka, 2019",Livros para Sonhar,Pré-leitores,087.5(0-5)
978-989-8145-88-8,Eu sou eu sei,"Um poema sobre o crescimento e a aprendizagem. Quando crescemos, todos os dias aprendemos qualquer coisa nova. Nesta aventura de ser e crescer, todas as experiências contam.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457403&img=41373&res=150&thb=1&pag=1,"Pessoa, Ana, 1982-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2018",,Literatura Portuguesa,087.5(0-5)
978-989-749-100-9,Dez dedos nas mãos e dez dedos nos pés,"Do ártico ao deserto, em qualquer continente, cidade ou tribo, todos os bebés nascem com dez dedos nas mãos e dez dedos nos pés. Ternura rimada, repetitiva e acumulativa para viajar pelo mundo em modo de diversidade e de igualdade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=463506&img=43011&res=150&thb=1&pag=1,"Fox, Mem, 1946-;Oxenbury, Helen, 1938-, il.;Alves, Gabriela Rocha, 1959-, trad.","Matosinhos : Kalandraka, 2018",Livros para sonhar,Pré-leitores,087.5(0-5)
978-989-665-325-5,O Elmer e o monstro,A selva está um pandemónio! O estranho som de um rugido põe todos os animais em debandada. Só o Elmer é suficiente valente para investigar... E para construir pontes em direcção ao outro.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=464454&img=43294&res=150&thb=1&pag=1,"McKee, David, 1935-2022","Lisboa : Nuvem de Letras, 2018",,Literatura Inglesa,087.5(0-5)
978-989-665-324-8,O Elmer e o Wilbur,"O Elmer adora pregar partidas. E o seu primo Wilbur também. Um dia, o Elmer tem uma ideia que obriga o Wilbur a pôr os pés na terra, em vários sentidos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=464456&img=43295&res=150&thb=1&pag=1,"McKee, David, 1935-2022","Lisboa : Nuvem de Letras, 2018",,Pré-leitores,087.5(0-5)
978-972-53-0610-9,O livro com medo,"O livro, cheio de medo do escuro, não consegue adormecer. Não há nada como uma boa dose de mimo e uma canção de embalar para que ele acalme e mude de ideias.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=464709&img=43406&res=150&thb=1&pag=1,"Ramadier, Cédric, 1968-;Bourgeau, Vincent, 1967-, il.","[S.l.] : Bizâncio, 2018",,Pré-leitores,087.5(0-5)
